,Unnamed: 0,Name,id,likes,date,posts,retweets
139,39,Lakers,20346956,661,2019-03-05 01:16:40,"The North Carolina town of 20,000 that produced two Los Angeles Lakers. 

Former All-Star Jerry Stackhouse on the u… https://t.co/IW4smQhoBc",159
140,40,Lakers,20346956,0,2019-03-05 01:08:40,RT @SouthBayLakers: Johnathan Williams (two-way) and Isaac Bonga (assigned) will be with the @Lakers for their game tonight against the LA…,63
141,41,Lakers,20346956,4324,2019-03-05 00:15:13,Showin’ out for the city https://t.co/oEW2rzeD6W,499
142,42,Lakers,20346956,779,2019-03-04 23:07:06,"Back home for an intracity matchup at 7:30 PT!

📺: @SpectrumSN in L.A. NBA TV nationally
📻: 710 ESPN &amp; 1330 KWKW

https://t.co/1GaQt3ei5a",132
143,43,Lakers,20346956,326,2019-03-04 21:54:21,"Mark Madsen sits down to provide the scouting report for tonight's game against the Clippers, presented by @Delta https://t.co/ueJ7PuR7W8",55
144,44,Lakers,20346956,0,2019-03-04 21:53:29,"RT @LakersGaming: Adding 3️⃣ more members to the #LakersGaming family tomorrow!

Watch the @NBA2KLeague Draft live on @Twitch Tuesday at 2p…",30
145,45,Lakers,20346956,0,2019-03-04 20:20:33,"RT @LakersReporter: Talked to Jerry Stackhouse about fellow Kinston, N.C. natives that he mentored, Brandon Ingram and Reggie Bullock: http…",254
146,46,Lakers,20346956,920,2019-03-04 19:32:41,"Lance Stephenson (left foot, second toe sprain) is out for tonight. 

Tyson Chandler (neck stiffness) is questionable.",119
147,47,Lakers,20346956,901,2019-03-03 16:00:00,"The team honored TSgt Andre Lyles of the Air Force by giving him a unique Lakers experience, as part of @Delta's Sa… https://t.co/vXay1DLBtL",90
148,48,Lakers,20346956,3896,2019-03-03 04:36:16,Final from Arizona. https://t.co/8unYBej2bG,599
149,49,Lakers,20346956,775,2019-03-03 04:28:04,The King hammers it down to make it a one-possession game!,94
150,50,Lakers,20346956,0,2019-03-03 04:26:57,"RT @LakersReporter: LAL have the ball down 112-107 with 1:19 to play, needing points to keep the pressure on the Suns. LeBron’s up to 25 po…",47
151,51,Lakers,20346956,1837,2019-03-03 04:16:04,3️⃣-ball on the way 💦 https://t.co/xEK0bjqtoc,211
152,52,Lakers,20346956,0,2019-03-03 04:15:14,"RT @LakersReporter: LAL within 8 after LeBron’s and-1, and his 3 on the next trip. Still 5 minutes left.",54
153,53,Lakers,20346956,1149,2019-03-03 03:55:01,Heading to the final frame. https://t.co/GhY9QUQ746,180
154,54,Lakers,20346956,2037,2019-03-03 03:35:17,"B.I. using every inch of that 7'3"" wingspan to get the rim.

#LakeShow (📺: @SpectrumSN) https://t.co/9QRNVeoBTe",270
155,55,Lakers,20346956,2535,2019-03-03 03:19:28,The 👑 can go get it!! https://t.co/b3dmRIrTJN,474
156,56,Lakers,20346956,610,2019-03-03 03:10:47,Halftime. https://t.co/Q5ZXfJXVFD,106
157,57,Lakers,20346956,1343,2019-03-03 03:09:46,"Ball fake ➡️ handoff ➡️ dunk

#LakeShow (📺: @SpectrumSN) https://t.co/tTiuiVcPSa",206
158,58,Lakers,20346956,1541,2019-03-03 03:07:15,🔨🔨🔨 https://t.co/eHg4Fz5BS9,153
